"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1366","should switch between login and signup forms @smoke @regression","firefox","Sun Aug 03 22:28:46 EDT 2025","passed","Sun Aug 03 22:28:47 EDT 2025","Application Tests","","",""
"","687","login with wrong password @regression","Mobile Chrome","Sun Aug 03 22:28:56 EDT 2025","passed","Sun Aug 03 22:28:56 EDT 2025","Application Tests","","",""
"","1617","password must be at least 8 characters @regression","firefox","Sun Aug 03 22:28:46 EDT 2025","passed","Sun Aug 03 22:28:48 EDT 2025","Application Tests","","",""
"","871","login & fetch key @smoke @regression","Mobile Chrome","Sun Aug 03 22:28:57 EDT 2025","passed","Sun Aug 03 22:28:58 EDT 2025","Application Tests","","",""
"","693","login with valid credentials @smoke @regression","Mobile Chrome","Sun Aug 03 22:28:55 EDT 2025","passed","Sun Aug 03 22:28:56 EDT 2025","Application Tests","","",""
"","683","password is required @regression","webkit","Sun Aug 03 22:28:51 EDT 2025","passed","Sun Aug 03 22:28:52 EDT 2025","Application Tests","","",""
"","0","expect rate limit exceeded for the login endpoint @destructive","firefox","Sun Aug 03 22:28:50 EDT 2025","skipped","Sun Aug 03 22:28:50 EDT 2025","API Tests","","",""
"","743","should switch between login and signup forms @smoke @regression","chromium","Sun Aug 03 22:29:45 EDT 2025","passed","Sun Aug 03 22:29:45 EDT 2025","Application Tests","","",""
"","400","login with wrong email @regression","Mobile Chrome","Sun Aug 03 22:28:56 EDT 2025","passed","Sun Aug 03 22:28:57 EDT 2025","Application Tests","","",""
"","25","full workflow @smoke @regression","firefox","Sun Aug 03 22:28:50 EDT 2025","failed","Sun Aug 03 22:28:50 EDT 2025","API Tests","","",""
"","781","login with wrong password @regression","chromium","Sun Aug 03 22:32:18 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","Application Tests","","",""
"","998","login & fetch key @smoke @regression","Mobile Safari","Sun Aug 03 22:29:00 EDT 2025","passed","Sun Aug 03 22:29:01 EDT 2025","Application Tests","","",""
"","527","login with wrong email @regression","chromium","Sun Aug 03 22:32:18 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","Application Tests","","",""
"","639","email is required @regression","chromium","Sun Aug 03 22:32:17 EDT 2025","passed","Sun Aug 03 22:32:18 EDT 2025","Application Tests","","",""
"","5342","register with an existing email @regression","Mobile Chrome","Sun Aug 03 22:28:54 EDT 2025","failed","Sun Aug 03 22:28:59 EDT 2025","Application Tests","","",""
"","1058","register with an existing email @regression","chromium","Sun Aug 03 22:32:17 EDT 2025","passed","Sun Aug 03 22:32:18 EDT 2025","Application Tests","","",""
"","222","expect rate limit exceeded for the login endpoint","Mobile Safari","Sun Aug 03 22:25:29 EDT 2025","passed","Sun Aug 03 22:25:30 EDT 2025","API Tests","","",""
"","1068","login with wrong password @regression","Mobile Safari","Sun Aug 03 22:29:00 EDT 2025","passed","Sun Aug 03 22:29:01 EDT 2025","Application Tests","","",""
"","766","register with a new email @smoke @regression","chromium","Sun Aug 03 22:32:18 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","Application Tests","","",""
"","524","email is required @regression","Mobile Safari","Sun Aug 03 22:28:59 EDT 2025","passed","Sun Aug 03 22:28:59 EDT 2025","Application Tests","","",""
"","367","password is required @regression","Mobile Chrome","Sun Aug 03 22:28:54 EDT 2025","passed","Sun Aug 03 22:28:54 EDT 2025","Application Tests","","",""
"","1030","login with valid credentials @smoke @regression","firefox","Sun Aug 03 22:28:49 EDT 2025","passed","Sun Aug 03 22:28:50 EDT 2025","Application Tests","","",""
"","5614","register with a new email @smoke @regression","webkit","Sun Aug 03 22:28:52 EDT 2025","failed","Sun Aug 03 22:28:57 EDT 2025","Application Tests","","",""
"","1222","login & fetch key @smoke @regression","firefox","Sun Aug 03 22:28:50 EDT 2025","passed","Sun Aug 03 22:28:51 EDT 2025","Application Tests","","",""
"","5520","register with a new email @smoke @regression","Mobile Safari","Sun Aug 03 22:28:59 EDT 2025","failed","Sun Aug 03 22:29:05 EDT 2025","Application Tests","","",""
"","5686","register with an existing email @regression","webkit","Sun Aug 03 22:28:52 EDT 2025","failed","Sun Aug 03 22:28:58 EDT 2025","Application Tests","","",""
"","264","full workflow @smoke @regression","chromium","Sun Aug 03 22:32:19 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","API Tests","","",""
"","1564","password is required @regression","firefox","Sun Aug 03 22:28:46 EDT 2025","passed","Sun Aug 03 22:28:48 EDT 2025","Application Tests","","",""
"","5339","register with a new email @smoke @regression","Mobile Chrome","Sun Aug 03 22:28:54 EDT 2025","failed","Sun Aug 03 22:29:00 EDT 2025","Application Tests","","",""
"","966","login with valid credentials @smoke @regression","webkit","Sun Aug 03 22:28:52 EDT 2025","passed","Sun Aug 03 22:28:53 EDT 2025","Application Tests","","",""
"","334","email is required @regression","Mobile Chrome","Sun Aug 03 22:28:54 EDT 2025","passed","Sun Aug 03 22:28:55 EDT 2025","Application Tests","","",""
"","191","expect rate limit exceeded for the login endpoint","Mobile Chrome","Sun Aug 03 22:25:22 EDT 2025","passed","Sun Aug 03 22:25:22 EDT 2025","API Tests","","",""
"","620","login & fetch key @smoke @regression","chromium","Sun Aug 03 22:32:19 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","Application Tests","","",""
"","1227","email is required @regression","firefox","Sun Aug 03 22:28:46 EDT 2025","passed","Sun Aug 03 22:28:47 EDT 2025","Application Tests","","",""
"","867","register with an existing email @regression","firefox","Sun Aug 03 22:28:48 EDT 2025","passed","Sun Aug 03 22:28:49 EDT 2025","Application Tests","","",""
"","517","password must be at least 8 characters @regression","Mobile Safari","Sun Aug 03 22:28:59 EDT 2025","passed","Sun Aug 03 22:28:59 EDT 2025","Application Tests","","",""
"","0","expect rate limit exceeded for the login endpoint @destructive","Mobile Safari","Sun Aug 03 22:29:01 EDT 2025","skipped","Sun Aug 03 22:29:01 EDT 2025","API Tests","","",""
"","315","expect rate limit exceeded for the login endpoint","webkit","Sun Aug 03 22:25:16 EDT 2025","passed","Sun Aug 03 22:25:16 EDT 2025","API Tests","","",""
"","942","login with valid credentials @smoke @regression","Mobile Safari","Sun Aug 03 22:28:59 EDT 2025","passed","Sun Aug 03 22:29:00 EDT 2025","Application Tests","","",""
"","741","password must be at least 8 characters @regression","chromium","Sun Aug 03 22:32:17 EDT 2025","passed","Sun Aug 03 22:32:18 EDT 2025","Application Tests","","",""
"","5511","register with an existing email @regression","Mobile Safari","Sun Aug 03 22:28:59 EDT 2025","failed","Sun Aug 03 22:29:05 EDT 2025","Application Tests","","",""
"","587","password is required @regression","Mobile Safari","Sun Aug 03 22:28:58 EDT 2025","passed","Sun Aug 03 22:28:59 EDT 2025","Application Tests","","",""
"","44","full workflow @smoke @regression","webkit","Sun Aug 03 22:28:53 EDT 2025","failed","Sun Aug 03 22:28:53 EDT 2025","API Tests","","",""
"","0","expect rate limit exceeded for the login endpoint @destructive","chromium","Sun Aug 03 22:32:19 EDT 2025","skipped","Sun Aug 03 22:32:19 EDT 2025","API Tests","","",""
"","25","full workflow @smoke @regression","Mobile Safari","Sun Aug 03 22:29:01 EDT 2025","failed","Sun Aug 03 22:29:01 EDT 2025","API Tests","","",""
"","919","should switch between login and signup forms @smoke @regression","webkit","Sun Aug 03 22:28:51 EDT 2025","passed","Sun Aug 03 22:28:52 EDT 2025","Application Tests","","",""
"","1043","login & fetch key @smoke @regression","webkit","Sun Aug 03 22:28:53 EDT 2025","passed","Sun Aug 03 22:28:54 EDT 2025","Application Tests","","",""
"","348","expect rate limit exceeded for the login endpoint","firefox","Sun Aug 03 22:25:08 EDT 2025","passed","Sun Aug 03 22:25:09 EDT 2025","API Tests","","",""
"","1002","password must be at least 8 characters @regression","webkit","Sun Aug 03 22:28:51 EDT 2025","passed","Sun Aug 03 22:28:52 EDT 2025","Application Tests","","",""
"","663","login with wrong email @regression","firefox","Sun Aug 03 22:28:50 EDT 2025","passed","Sun Aug 03 22:28:50 EDT 2025","Application Tests","","",""
"","623","password is required @regression","chromium","Sun Aug 03 22:32:17 EDT 2025","passed","Sun Aug 03 22:32:18 EDT 2025","Application Tests","","",""
"","713","login with wrong email @regression","Mobile Safari","Sun Aug 03 22:29:00 EDT 2025","passed","Sun Aug 03 22:29:01 EDT 2025","Application Tests","","",""
"","0","expect rate limit exceeded for the login endpoint @destructive","Mobile Chrome","Sun Aug 03 22:28:58 EDT 2025","skipped","Sun Aug 03 22:28:58 EDT 2025","API Tests","","",""
"","897","email is required @regression","webkit","Sun Aug 03 22:28:51 EDT 2025","passed","Sun Aug 03 22:28:52 EDT 2025","Application Tests","","",""
"","793","login with valid credentials @smoke @regression","chromium","Sun Aug 03 22:32:18 EDT 2025","passed","Sun Aug 03 22:32:19 EDT 2025","Application Tests","","",""
"","937","login with wrong password @regression","webkit","Sun Aug 03 22:28:52 EDT 2025","passed","Sun Aug 03 22:28:53 EDT 2025","Application Tests","","",""
"","730","switch btwn login and signup forms @smoke @regression","chromium","Sun Aug 03 22:32:17 EDT 2025","passed","Sun Aug 03 22:32:18 EDT 2025","Application Tests","","",""
"","340","password must be at least 8 characters @regression","Mobile Chrome","Sun Aug 03 22:28:54 EDT 2025","passed","Sun Aug 03 22:28:54 EDT 2025","Application Tests","","",""
"","1172","register with a new email @smoke @regression","firefox","Sun Aug 03 22:28:48 EDT 2025","passed","Sun Aug 03 22:28:49 EDT 2025","Application Tests","","",""
"","38","full workflow @smoke @regression","Mobile Chrome","Sun Aug 03 22:28:58 EDT 2025","failed","Sun Aug 03 22:28:58 EDT 2025","API Tests","","",""
"","616","should switch between login and signup forms @smoke @regression","Mobile Safari","Sun Aug 03 22:28:58 EDT 2025","passed","Sun Aug 03 22:28:59 EDT 2025","Application Tests","","",""
"","610","login with wrong email @regression","webkit","Sun Aug 03 22:28:52 EDT 2025","passed","Sun Aug 03 22:28:53 EDT 2025","Application Tests","","",""
"","4498","expect rate limit exceeded for the login endpoint","chromium","Sun Aug 03 22:25:04 EDT 2025","passed","Sun Aug 03 22:25:09 EDT 2025","API Tests","","",""
"","1","expect rate limit exceeded for the login endpoint @destructive","webkit","Sun Aug 03 22:28:53 EDT 2025","skipped","Sun Aug 03 22:28:53 EDT 2025","API Tests","","",""
"","1014","login with wrong password @regression","firefox","Sun Aug 03 22:28:49 EDT 2025","passed","Sun Aug 03 22:28:50 EDT 2025","Application Tests","","",""
"","463","should switch between login and signup forms @smoke @regression","Mobile Chrome","Sun Aug 03 22:28:53 EDT 2025","passed","Sun Aug 03 22:28:54 EDT 2025","Application Tests","","",""
